Stars,Titles,Comments
5.0 out of 5 stars,Worth the price,Bought these for a week ski trip to Breckenridge. Had a variety of different conditions during the week and never had an issue with them.
5.0 out of 5 stars,Great deal!,Just as nice as my husband?? much more expensive goggles. Made my ski day today much more enjoyable!
5.0 out of 5 stars,Fantastic last minute purchase!,These goggles have to be the best last minute purchase I??e ever made! Just before a weekend birding trip out of state this last season my old faithfuls broke on me. So I snagged these real quick and boy was it worth it! Forget the expensive name brand goggles for 1/4 the price  you get just as good of a goggle. They might scratch just a little easier but if you are careful with them while not wearing them it shouldn?? be a problem. After 3 days using them I never had them fog up on me and they were surprisingly comfortable all day!
5.0 out of 5 stars,Report abuse,Translate review to English
4.0 out of 5 stars,Worked well,My daughter loved these!
4.0 out of 5 stars,Finally! Goggles that fit large eyeglasses!,"It took a few tries--and with more expensive goggles--but these fit the bill when it comes to fit--they accommodate my eyeglasses whereas other ""OTG"" (Over The Glasses) ones didn't. This manufacturer is smart: there are cutouts on the sides of the goggles to accommodate the hinge points of eyeglasses---other manufactures may include them but the ones I've tried had layers of foam over them so although they could accommodate my eyeglasses, the foam pressed hard against the hinge points which in turn pressed hard against my eyeglasses' nose bridge. Owee!Since I plan on using these just to walk to work in inclement weather, they won't get the hard use skiers may use them for, but I'm very pleased with the product for what it's intended for."
5.0 out of 5 stars,Just like I remember,"I have such a great relationship with this company, I randomly found them at a small shop in 2015 or 2016? The iridium on the lenses was perfect, it was like having a heavy pair of sunglasses out on bright snow days in Jackson. I need a blind goggles for my entire family because they were just sort of like the cheap sunglasses that you get from gas stations, without any of the problems. I have had at least two pairs of these for the last seven or eight years. I recently broke my Oakley A-frames moving to Pittsburgh, I needed a new set so I bought another pair of these and they work fantastically. You get more than what you pay for with this company, these goggles last you more than a few seasons in a very comfortable, and the iridium colors are plentiful. The new magnet system where you can switch in and out the iridium lens  does a lot of fun. I would say if you don?? go snowboarding very often, are you looking for a pair of goggles that your kids can break these would be perfect."
4.0 out of 5 stars,"Finally, no fog",love these goggles.  Was able to see in all conditions (one day had bright sun and these were not too dark or light...just right.  Next day was rain and snow and was still able to see well.  Other days were mixed which made these work out even better).  The best thing was FINALLY not having to deal with fogged glasses and goggles.  OTG worked great and I didn't have any fogging.  Also ordered clear lens for night and it was not as easy to switch as the magnet ones but was still pretty quick to switch.  Only negative is they do seem like they would scratch pretty easily but after a week mine are not scratched but I was also very careful with the lens.
4.0 out of 5 stars,Worked reasonably well,Functioned well for skiing in Colorado. Fogging only occurred when my face was sweating and was easily resolved by briefly lifting the goggles to let my face cool. The tint was excellent for bright sun. The only downside that I had was that the lenses are easily scratched despite being careful with them - although the scratch was so minor that it did not affect my vision.
5.0 out of 5 stars,Fits Over glasses!,Great product! First pair of ski goggles I have bought and they are fantastic. They fit perfectly over my lower profile glasses and fit although tightly over my wide framed (didn't think it would fit them at all as they are very wide). Had a slight fogging issue when the weather on the slope turned to very cold with high winds and heavy flurry. But it average cold conditions they performed above expectations. Worth every penny.
4.0 out of 5 stars,Good overall,"These are the ones that show up when looking for goggles that fit over glasses. They're a very snug fit (for me), but they do work. The anti fog works sometimes and doesn't other times. If you're looking for a decent pair of cheap goggles, these will do you good"
4.0 out of 5 stars,Fits over my eye glasses!,"This is actually my second pair that I??e bought, my son took my first ones, he loves them! They are supposed to be anti fog, but they still fogged up on me. Not sure what I?? doing wrong. They fit nicely over my eye glasses and are comfortable to wear, good price too!"
5.0 out of 5 stars,Quality Goggles at a fantastic price,"Both my husband and I bought these goggles early in this ski season with relatively low expectations due to the amazing price.  I'm happy to report we've used them multiple times weekly and switched lenses frequently (both of us bought the yellow for low light days), they switch with ease. They look stylish, they fit over my glasses (hooray for not being blind on the mountain) and the fact I only need one pair of goggles and can switch the lenses literally on the gondola ride is a game changer.  Highly recommend. Zero fogging!"
4.0 out of 5 stars,Solid for the price,These fit my smaller glasses frames under them pretty well. There is a little pressure on my nose from the frames.They are also quite a good fit with out glasses.They do let a little windy through sometimes.
4.0 out of 5 stars,Works well,Works well??for a Chinese product.
4.0 out of 5 stars,They seem to be well constructed and should work well for skiing.,My glasses have large frames so they don?? fit inside the goggles as advertised. I will be using them for skiing.
4.0 out of 5 stars,Great! But the lenses are tough to take off!,"Honestly a great product, the only issue is snapping off the lenses is a little rough other wise I?? give it 5 stars!"
5.0 out of 5 stars,Great for eyeglasses,I was looking for goggles that would fit eyeglasses. These worked great! No pressing of eyeglasses into face or into the nose. No problem with fogging. Definitely a great product. I used them for 2 days in Colorado and they performed well. Time will tell how well they hold up to continued use.
5.0 out of 5 stars,Look Cool/Save Vision,"Fit on the face is great, soft foam is very comfortable. Adjustable strap easy to change from helmet size to head size. Cool silver mirror exterior surface looks great and offers outstanding protection. On my trip we had bright blue skies all days and these goggles never let me down or made me squint, not once. Incredible value for the money. I'd buy them again in an instant."
5.0 out of 5 stars,"Great Value, Wide Field of View, Competitive Features","I bought these on a whim to prevent having to buy an overpriced ""Brand Name"" version for a ski trip that was a few weeks away. I bought the ""Lagopus X Black Frame Polarized Blue Lens VLT 16%"" version (so the ""S3"" darkness). I was pleasantly surprised, goggles came packed in a nice box and in a very nice non-scratch reusable bag/cleaning cloth. The blue is attractive from the outside, and the mirror/polarizing does obscure your face/eyes if it matters. Comfortable and JUST small enough to fit inside a big rental helmet. The strap adjusted from pretty small to gigantic with ease and the grippers on the strap are great! The view through them is exactly what I wanted: Polarized, cheap, clear, ventilated (they don't fog in any way I tried to get them to) and they seem to be VERY wide angle (so no ""Goggle/tunnel vision""). When you put them on on a really bright day they seem to be more than adequately dark (polarizing helps with this), i'd imagine the S4 tint is probably too dark for all but the most sunny of days. The S3/Blue VLT 16% seems like a good ""all around"" lens for everything from whiteout afternoon skiing (did that several days) to windy and cloudless winter mornings (did that too).The only drawback (if it is one at all) is that the view through the lens I chose makes everything yellow tinted. I don't mind this, helps make out lines and edges quite well, but it does blur the color spectrum between blue and black (if you're a skier/boarder that cares about this, make sure you know what shapes the runs are too!).All around recommendation: buy them!"
5.0 out of 5 stars,Just what I needed,"I needed a pair of ski goggles to fit over my glasses and keep them from fogging.  These fit over the glasses, though a bit tight  and I had no problems at all with fogging, enough air flows through to keep both the glasses and goggles clear.  The field of view is wide and excellent.  I am completely happy with these."
